"","clusterresults$cluster"
"1853",1
"1097",1
"65",1
"1762",1
"1016",1
"1511",1
"1404",1
"1027",1
"729",1
"751",2
"121",1
"628",2
"2117",2
"1317",1
"1349",1
"277",1
"1891",2
"2139",2
"1112",2
"1861",1
"908",2
"1345",1
"2030",1
"1449",1
"2310",2
"420",1
"431",2
"550",1
"2146",2
"256",1
"2329",2
"1833",2
"720",2
"1230",1
"139",1
"1099",2
"1397",1
"1378",2
"2109",2
"2307",1
"1103",1
"610",2
"1543",1
"1373",1
"1375",2
"1428",1
"2242",1
"1588",1
"1193",1
"1553",1
"568",1
"1731",2
"1860",1
"163",1
"24",1
"2347",2
"493",1
"306",1
"862",2
"413",2
"616",2
"1074",1
"1114",1
"1031",1
"12",1
"1245",2
"1354",1
"710",2
"530",2
"1663",2
"1564",2
"2382",1
"1289",1
"1248",1
"1687",1
"2123",1
"999",1
"852",1
"31",2
"245",1
"1138",1
"646",1
"453",1
"842",2
"1162",1
"2225",1
"2078",1
"519",1
"1572",2
"1755",2
"2038",1
"1611",1
"1091",2
"269",2
"1371",2
"1576",1
"324",2
"1390",1
"133",2
"2006",1
"2224",2
"1530",1
"989",1
"596",2
"1312",1
"1608",2
"2282",1
"1049",2
"1110",2
"437",1
"2176",2
"792",1
"1329",1
"2053",1
"1149",1
"767",2
"1000",2
"1882",2
"1330",2
"1603",2
"567",2
"2227",2
"483",1
"1771",1
"145",1
"1021",1
"740",2
"535",1
"1830",1
"547",2
"2013",2
"776",1
"704",1
"1932",1
"1464",1
"298",1
"500",1
"688",1
"1715",1
"1408",2
"1164",2
"266",2
"142",2
"1438",1
"8",2
"870",2
"114",2
"1674",2
"1698",2
"2040",2
"514",2
"687",1
"88",2
"320",2
"2125",1
"1083",2
"2095",2
"1906",1
"480",2
"777",2
"1143",2
"135",2
"641",2
"505",1
"1458",1
"1088",2
"1909",1
"1353",2
"364",1
"1557",2
"2246",1
"1325",2
"1421",2
"1642",1
"2297",1
"2322",1
"1779",2
"2264",2
"2312",2
"2180",2
"931",1
"263",1
"1778",2
"35",1
"887",2
"110",1
"262",1
"910",1
"1023",2
"679",1
"797",1
"2074",2
"23",1
"361",2
"2160",1
"565",1
"2386",2
"1287",2
"2076",1
"1581",1
"1720",2
"1340",1
"1500",2
"1476",2
"215",1
"1435",2
"2208",2
"72",1
"975",2
"763",1
"1960",2
"1171",1
"2374",1
"1842",1
"1785",1
"1700",1
"2255",2
"1529",2
"2035",1
"771",2
"993",2
"1571",1
"1691",2
"230",2
"2091",1
"2360",2
"2183",1
"1689",2
"591",2
"1071",1
"2353",1
"1217",1
"180",2
"1998",2
"1613",2
"800",1
"430",1
"240",2
"680",1
"15",1
"1589",1
"414",1
"44",1
"1843",2
"355",1
"214",2
"243",1
"267",1
"2069",1
"625",2
"1829",1
"1450",1
"714",2
"1528",1
"1533",1
"1671",2
"1047",1
